4 41
0.0d0 21.01d0 0.0d0
76.0d0 21.01d0 0.0d0
136.0d0 21.04d0 0.0d0
256.0d0 21.08d0 0.0d0
316.0d0 21.08d0 0.0d0
436.0d0 20.95d0 0.0d0
496.0d0 20.78d0 0.0d0
616.0d0 20.22d0 0.0d0
736.0d0 19.55d0 0.0d0
856.0d0 19.06d0 0.0d0
916.0d0 18.77d0 0.0d0
1036.0d0 16.84d0 0.0d0
1156.0d0 16.17d0 0.0d0
1276.0d0 15.75d0 0.0d0
1336.0d0 15.66d0 0.0d0
1456.0d0 15.60d0 0.0d0
1576.0d0 15.68d0 0.0d0
1696.0d0 15.80d0 0.0d0
2056.0d0 16.08d0 0.0d0
2416.0d0 16.30d0 0.0d0
2716.0d0 16.28d0 0.0d0
3076.0d0 16.29d0 0.0d0
4036.0d0 16.67d0 0.0d0
4996.0d0 17.08d0 0.0d0
5956.0d0 17.07d0 0.0d0
6922.0d0 16.89d0 0.0d0
7702.0d0 16.89d0 0.0d0
8482.0d0 16.30d0 0.0d0
9202.0d0 16.32d0 0.0d0
9982.0d0 16.40d0 0.0d0
10702.0d0 16.38d0 0.0d0
11482.0d0 15.64d0 0.0d0
12202.0d0 15.23d0 0.0d0
12982.0d0 15.65d0 0.0d0
14199.0d0 15.69d0 0.0d0
15459.0d0 15.72d0 0.0d0
16719.0d0 15.67d0 0.0d0
17979.0d0 15.61d0 0.0d0
19965.0d0 15.61d0 0.0d0
21945.0d0 15.64d0 0.0d0
23985.0d0 15.65d0 0.0d0
