2 41
0.0d0 20.21d0 0.0d0
76.0d0 20.21d0 0.0d0
136.0d0 20.24d0 0.0d0
256.0d0 20.39d0 0.0d0
316.0d0 20.36d0 0.0d0
436.0d0 20.08d0 0.0d0
496.0d0 19.84d0 0.0d0
616.0d0 19.24d0 0.0d0
736.0d0 18.50d0 0.0d0
856.0d0 17.82d0 0.0d0
916.0d0 17.58d0 0.0d0
1036.0d0 17.26d0 0.0d0
1156.0d0 17.01d0 0.0d0
1276.0d0 16.81d0 0.0d0
1336.0d0 16.73d0 0.0d0
1456.0d0 16.59d0 0.0d0
1576.0d0 16.50d0 0.0d0
1696.0d0 16.44d0 0.0d0
2056.0d0 16.38d0 0.0d0
2416.0d0 16.41d0 0.0d0
2716.0d0 16.46d0 0.0d0
3076.0d0 16.51d0 0.0d0
4036.0d0 16.56d0 0.0d0
4996.0d0 16.60d0 0.0d0
5956.0d0 16.61d0 0.0d0
6922.0d0 16.57d0 0.0d0
7702.0d0 16.59d0 0.0d0
8482.0d0 16.62d0 0.0d0
9202.0d0 16.61d0 0.0d0
9982.0d0 16.61d0 0.0d0
10702.0d0 16.61d0 0.0d0
11482.0d0 16.90d0 0.0d0
12202.0d0 16.60d0 0.0d0
12982.0d0 16.28d0 0.0d0
14199.0d0 16.15d0 0.0d0
15459.0d0 16.18d0 0.0d0
16719.0d0 16.23d0 0.0d0
17979.0d0 16.20d0 0.0d0
19965.0d0 16.16d0 0.0d0
21945.0d0 16.10d0 0.0d0
23985.0d0 16.05d0 0.0d0
